feature,C1_baseline_beats_distmap_median,C1_baseline_beats_distmap_iqr,C2_distmap_beats_baseline_median,C2_distmap_beats_baseline_iqr,C3_fusion_between_B_lt_D_median,C3_fusion_between_B_lt_D_iqr,C4_fusion_between_D_lt_B_median,C4_fusion_between_D_lt_B_iqr,C5_fusion_worst_median,C5_fusion_worst_iqr,C6_fusion_best_median,C6_fusion_best_iqr
vol_WT,90121.500,91123.750,89333.000,84399.000,91962.000,88482.000,86605.000,91179.000,91161.000,91276.000,85112.000,80349.000
vol_TC,28744.500,44017.500,28450.000,37195.000,28589.000,37538.750,23300.000,39935.000,31980.000,43928.500,25198.000,38080.000
vol_ET,17354.500,24552.500,17816.000,24043.000,19688.500,23829.500,12694.000,20489.000,19821.000,25140.000,12272.000,21339.000
ratio_ET_WT,0.219,0.195,0.217,0.216,0.237,0.197,0.162,0.205,0.235,0.181,0.164,0.227
nb_cc_ET,2.000,3.000,2.000,3.000,2.000,3.000,2.000,3.000,2.000,3.000,2.000,3.000
nb_cc_NCR,8.000,18.000,7.000,15.000,8.000,16.750,8.000,14.000,8.000,20.000,6.000,12.000
frac_small_cc_ET,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
frac_small_cc_NCR,0.002,0.009,0.002,0.009,0.002,0.009,0.001,0.009,0.003,0.010,0.002,0.009
cc_spread_ET,0.230,1.867,0.233,2.537,0.247,2.566,0.262,2.009,0.215,1.281,0.326,4.819
euler_WT,1.000,7.000,1.000,6.000,1.000,6.000,1.000,7.000,1.000,7.000,1.000,8.000
euler_TC,1.000,2.000,1.000,3.000,1.000,3.000,1.000,2.000,1.000,2.000,2.000,2.000
euler_ET,-1.000,19.000,0.000,13.000,0.000,13.000,-1.000,20.000,-2.000,18.000,0.000,13.000
cavities_WT,2.000,8.000,2.000,8.000,2.000,8.000,3.000,8.000,2.000,7.000,3.000,10.000
pca_elongation_WT,1.740,0.477,1.748,0.510,1.779,0.507,1.726,0.539,1.733,0.451,1.773,0.554
sphericity_WT,0.404,0.119,0.398,0.123,0.395,0.114,0.394,0.132,0.413,0.113,0.401,0.139
surface_roughness_WT,2.473,0.726,2.509,0.783,2.530,0.740,2.537,0.841,2.423,0.681,2.493,0.869
nb_cc_baseline_ET,2.000,2.000,2.000,2.000,2.000,2.000,2.000,3.000,2.000,2.000,2.000,3.000
nb_cc_distmap_ET,2.000,2.000,2.000,2.000,2.000,2.000,2.000,3.000,2.000,2.000,2.000,2.000
nb_cc_baseline_NCR,69.000,82.750,68.000,78.000,72.000,73.000,72.000,79.000,69.000,82.000,54.000,81.000
nb_cc_distmap_NCR,79.000,105.750,79.000,97.000,88.000,90.250,75.000,102.000,86.000,108.000,61.000,92.000
